experiment,RMSE,MAE,NLL,ICE,cov@50,cov@80,cov@90,cov@95
A_A0,1.5689,1.2689,1.8883,0.0261,0.482,0.786,0.867,0.945
A_A1,1.5071,1.1392,1.878,0.0622,0.612,0.894,0.935,0.959
A_A2,1.6123,1.2707,1.9561,0.0797,0.641,0.924,0.959,0.971
A_A3,1.5558,1.2079,1.9446,0.1039,0.7,0.935,0.965,0.976
A_A4,1.6113,1.187,1.9082,0.0765,0.629,0.894,0.935,0.947
B_MSE,1.4265,0.9939,,,,,,
B_SingleHead,1.563,1.1913,1.9274,0.0868,0.676,0.929,0.953,0.959
B_TwoHead,1.5375,1.1867,1.9182,0.0961,0.7,0.924,0.959,0.976
B_TwoStage,1.4248,0.9824,1.8359,0.1184,0.671,0.906,0.929,0.947
B_Regularized,1.5903,1.2581,1.9454,0.0595,0.559,0.906,0.941,0.959
C_Gaussian,1.5589,1.2048,1.9256,0.0907,0.688,0.929,0.953,0.971
C_StudentT_v3,1.4909,1.0844,1.8529,0.0209,0.535,0.829,0.9,0.924
C_StudentT_v5,1.5463,1.1689,1.878,0.0522,0.565,0.882,0.929,0.953
C_Laplace,1.4859,1.0841,1.8533,0.0482,0.588,0.882,0.924,0.947
