model,rmse,mae,nll,ice,cov@0.50,cov@0.80,cov@0.90,cov@0.95,spearman,top0.10,top0.20,top0.30,track,scaled,aurc
StudentT_nu=3.0  [raw],1.39367,0.98441,1.98893,0.02683,0.49333,0.73333,0.83000,0.86000,-0.02453,0.06667,0.16667,0.25556,A,none,
StudentT_nu=3.0  [scale a],1.39367,0.98441,1.98893,0.02683,0.49333,0.73333,0.83000,0.86000,-0.02453,0.06667,0.16667,0.25556,A,a=1.000,
StudentT_nu=3.0  [scale a+b],1.39367,0.98441,1.98893,0.02683,0.49333,0.73333,0.83000,0.86000,-0.02453,0.06667,0.16667,0.25556,A,"a=1.000,b=0.000",
StudentT_nu=5.0  [raw],1.39740,0.98861,1.90766,0.02746,0.54333,0.78333,0.85000,0.89333,-0.03282,0.06667,0.18333,0.26667,A,none,
StudentT_nu=5.0  [scale a],1.39740,0.98861,1.90766,0.02746,0.54333,0.78333,0.85000,0.89333,-0.03282,0.06667,0.18333,0.26667,A,a=1.000,
StudentT_nu=5.0  [scale a+b],1.39740,0.98861,1.90766,0.02746,0.54333,0.78333,0.85000,0.89333,-0.03282,0.06667,0.18333,0.26667,A,"a=1.000,b=0.000",
StudentT_nu=8.0  [raw],1.38339,0.97263,1.84958,0.05206,0.60000,0.79667,0.86333,0.89667,-0.04676,0.03333,0.16667,0.24444,A,none,
StudentT_nu=8.0  [scale a],1.38339,0.97263,1.84958,0.05206,0.60000,0.79667,0.86333,0.89667,-0.04676,0.03333,0.16667,0.24444,A,a=1.000,
StudentT_nu=8.0  [scale a+b],1.38339,0.97263,1.84958,0.05206,0.60000,0.79667,0.86333,0.89667,-0.04676,0.03333,0.16667,0.24444,A,"a=1.000,b=0.000",
StudentT_nu=learned  [raw],1.40331,0.99709,2.26394,0.04581,0.45333,0.70000,0.81000,0.84667,-0.02156,0.06667,0.15000,0.24444,A,none,
StudentT_nu=learned  [scale a],1.40331,0.99709,2.26394,0.04581,0.45333,0.70000,0.81000,0.84667,-0.02156,0.06667,0.15000,0.24444,A,a=1.000,
StudentT_nu=learned  [scale a+b],1.40331,0.99709,2.26394,0.04581,0.45333,0.70000,0.81000,0.84667,-0.02156,0.06667,0.15000,0.24444,A,"a=1.000,b=0.000",
FixedSigma_A=1.0,1.40117,0.98005,1.75625,0.08025,0.65667,0.85333,0.90333,0.92667,,0.06667,0.28333,0.36667,B,,
FixedSigma_A=1.5,1.39997,0.98134,1.75994,0.09517,0.66667,0.86000,0.92333,0.93667,,0.06667,0.33333,0.37778,B,,
FixedSigma_A=2.0,1.41012,0.99074,1.76267,0.07708,0.63333,0.83667,0.90667,0.92333,,0.03333,0.33333,0.38889,B,,
FixedSigma_B_scheduled,1.44195,1.02195,1.78645,0.08121,0.64333,0.86000,0.91000,0.92667,,0.13333,0.28333,0.36667,B,,
Rank_lambda=0.0,1.40301,0.98364,2.04376,0.02279,0.48667,0.77000,0.83333,0.85667,-0.03900,0.03333,0.13333,0.27778,C,,2.26856
Rank_lambda=0.005,1.39180,0.98643,2.05520,0.03429,0.51000,0.72667,0.81667,0.86667,-0.03700,0.10000,0.13333,0.24444,C,,2.22812
Rank_lambda=0.01,1.40605,0.99183,1.98757,0.02302,0.49667,0.77000,0.84667,0.87333,-0.06167,0.10000,0.18333,0.25556,C,,2.24901
Rank_lambda=0.05,1.40239,0.99094,2.02532,0.04010,0.46667,0.72667,0.80667,0.85000,0.02152,0.03333,0.11667,0.30000,C,,1.88885
D_baseline,1.39803,0.98909,2.01628,0.03397,0.48333,0.74667,0.81333,0.86333,0.02423,0.03333,0.20000,0.32222,D,,
D_RSA_only,1.40704,0.99011,2.15398,0.04311,0.48000,0.74667,0.81667,0.86000,-0.01278,0.03333,0.21667,0.23333,D,,
D_MutType_only,1.39551,0.97824,1.68397,0.08873,0.39333,0.67000,0.77333,0.83333,0.48381,0.30000,0.48333,0.57778,D,,
D_RSA+MutType,1.39914,0.99209,1.79493,0.11556,0.36000,0.62000,0.76000,0.84667,0.44946,0.33333,0.45000,0.57778,D,,
